"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"496.0","pp","YKR026C (pp) YGL122C","false","pp","YKR026C (pp) YGL122C"
"988.0","pp","YGL122C (pp) YOL123W","false","pp","YGL122C (pp) YOL123W"
"6.0","pp","YGR218W (pp) YGL097W","false","pp","YGR218W (pp) YGL097W"
"6.0","pp","YGL097W (pp) YOR204W","false","pp","YGL097W (pp) YOR204W"
"4.0","pp","YLR249W (pp) YPR080W","false","pp","YLR249W (pp) YPR080W"
"4.0","pp","YLR249W (pp) YBR118W","false","pp","YLR249W (pp) YBR118W"
"4.0","pp","YPR080W (pp) YAL003W","false","pp","YPR080W (pp) YAL003W"
"4.0","pp","YBR118W (pp) YAL003W","false","pp","YBR118W (pp) YAL003W"
"6.0","pp","YLR293C (pp) YGL097W","false","pp","YLR293C (pp) YGL097W"
"496.0","pp","YMR146C (pp) YDR429C","false","pp","YMR146C (pp) YDR429C"
"1470.49481074","pp","YDR429C (pp) YFL017C","false","pp","YDR429C (pp) YFL017C"
"496.0","pp","YFL017C (pp) YOL059W","false","pp","YFL017C (pp) YOL059W"
"2758.08455433","pp","YFL017C (pp) YER102W","false","pp","YFL017C (pp) YER102W"
"496.0","pp","YFL017C (pp) YOR362C","false","pp","YFL017C (pp) YOR362C"
"496.0","pp","YOL123W (pp) YGL044C","false","pp","YOL123W (pp) YGL044C"
"8.0","pp","YPL211W (pp) YGR014W","false","pp","YPL211W (pp) YGR014W"
"7.0","pp","YGR014W (pp) YJL030W","false","pp","YGR014W (pp) YJL030W"
"7.0","pp","YGR014W (pp) YJL013C","false","pp","YGR014W (pp) YJL013C"
"5.0","pp","YJL030W (pp) YGL229C","false","pp","YJL030W (pp) YGL229C"
"5.0","pp","YJL013C (pp) YGL229C","false","pp","YJL013C (pp) YGL229C"
"496.0","pp","YGR203W (pp) YIL061C","false","pp","YGR203W (pp) YIL061C"
"8486.71708292","pp","YIL061C (pp) YDL013W","false","pp","YIL061C (pp) YDL013W"
"9902.71708292","pp","YIL061C (pp) YNL199C","false","pp","YIL061C (pp) YNL199C"
"496.0","pp","YIL061C (pp) YLR153C","false","pp","YIL061C (pp) YLR153C"
"496.0","pp","YCR084C (pp) YBR112C","false","pp","YCR084C (pp) YBR112C"
"988.0","pp","YCR084C (pp) YCL067C","false","pp","YCR084C (pp) YCL067C"
"9.0","pd","YCL067C (pd) YIL015W","false","pd","YCL067C (pd) YIL015W"
"1447.5","pp","YCL067C (pp) YMR043W","false","pp","YCL067C (pp) YMR043W"
"9.83333333","pd","YCL067C (pd) YDR461W","false","pd","YCL067C (pd) YDR461W"
"9.83333333","pd","YCL067C (pd) YFL026W","false","pd","YCL067C (pd) YFL026W"
"248.5","pp","YER112W (pp) YOR167C","false","pp","YER112W (pp) YOR167C"
"1960.0","pp","YJR022W (pp) YNR050C","false","pp","YJR022W (pp) YNR050C"
"496.0","pp","YJR022W (pp) YNL050C","false","pp","YJR022W (pp) YNL050C"
"3050.14565435","pp","YJR022W (pp) YEL015W","false","pp","YJR022W (pp) YEL015W"
"1220.5","pp","YJR022W (pp) YOR167C","false","pp","YJR022W (pp) YOR167C"
"1220.5","pp","YJR022W (pp) YLR264W","false","pp","YJR022W (pp) YLR264W"
"6283.85994006","pp","YJR022W (pp) YNR053C","false","pp","YJR022W (pp) YNR053C"
"1476.0","pp","YNR050C (pp) YMR138W","false","pp","YNR050C (pp) YMR138W"
"3025.31048951","pp","YEL015W (pp) YML064C","false","pp","YEL015W (pp) YML064C"
"248.5","pp","YLR264W (pp) YER112W","false","pp","YLR264W (pp) YER112W"
"248.5","pp","YLR264W (pp) YOL149W","false","pp","YLR264W (pp) YOL149W"
"248.5","pp","YLR264W (pp) YBL026W","false","pp","YLR264W (pp) YBL026W"
"988.0","pp","YNR053C (pp) YJL203W","false","pp","YNR053C (pp) YJL203W"
"7118.71708292","pp","YNR053C (pp) YDL030W","false","pp","YNR053C (pp) YDL030W"
"496.0","pp","YER116C (pp) YDL013W","false","pp","YER116C (pp) YDL013W"
"988.0","pp","YNL307C (pp) YAL038W","false","pp","YNL307C (pp) YAL038W"
"2034.76542347","pd","YAL038W (pd) YPL075W","false","pd","YAL038W (pd) YPL075W"
"2940.76542347","pd","YNL216W (pd) YCR012W","false","pd","YNL216W (pd) YCR012W"
"2148.76542347","pd","YNL216W (pd) YGR254W","false","pd","YNL216W (pd) YGR254W"
"2148.76542347","pd","YNL216W (pd) YHR174W","false","pd","YNL216W (pd) YHR174W"
"2391.0","pd","YNL216W (pd) YIL133C","false","pd","YNL216W (pd) YIL133C"
"15620.15017205","pd","YNL216W (pd) YLR044C","false","pd","YNL216W (pd) YLR044C"
"496.0","pd","YNL216W (pd) YOL120C","false","pd","YNL216W (pd) YOL120C"
"496.0","pd","YNL216W (pd) YNL301C","false","pd","YNL216W (pd) YNL301C"
"5079.35982906","pd","YNL216W (pd) YCL030C","false","pd","YNL216W (pd) YCL030C"
"496.0","pp","YNL216W (pp) YDR171W","false","pp","YNL216W (pp) YDR171W"
"1476.0","pd","YNL216W (pd) YBR093C","false","pd","YNL216W (pd) YBR093C"
"496.0","pd","YNL216W (pd) YER074W","false","pd","YNL216W (pd) YER074W"
"496.0","pd","YNL216W (pd) YIL069C","false","pd","YNL216W (pd) YIL069C"
