genesymbol,gal1RGexp,gal1RGsig,gal4RGexp,gal4RGsig,gal80Rexp,gal80Rsig,name
GCN3,-0.154,9.12E-04,-0.501,3.57E-06,0.292,0.011229,YKR026C
NAB2,0.174,8.73E-04,0.02,0.61707,0.187,0.0059966,YGL122C
CRM1,-0.018,0.61381,-0.001,0.9794,-0.018,0.80969,YGR218W
SRM1,0.16,0.0021913,-0.23,0.0022461,0.008,0.93826,YGL097W
DED1,-0.033,0.39944,-0.056,0.31268,-0.91,8.35E-16,YOR204W
YEF3,-0.39,2.71E-08,-0.394,0.04747,-0.769,0.035939,YLR249W
TEF1,-0.138,9.87E-04,0.009,0.89728,-0.278,6.78E-04,YPR080W
TEF2,-0.074,0.053125,-0.063,0.15497,0.044,0.54556,YBR118W
GSP1,-0.242,1.76E-05,-0.247,6.80E-04,-0.128,0.012703,YLR293C
TIF34,-0.05,0.30844,-0.143,0.0085173,-0.151,0.072007,YMR146C
TIF35,0.078,0.072655,-0.209,0.0011724,0.354,1.66E-05,YDR429C
GNA1,0.131,0.0017854,0.122,0.0055302,0.124,0.050323,YFL017C
EFB1,-0.157,0.0018696,-0.2,6.28E-04,-0.146,0.013062,YAL003W
HRP1,0.245,9.84E-06,0.126,0.0050114,-0.036,0.59496,YOL123W
RNA15,0.162,0.0013639,-0.211,0.0040902,0.281,0.0057448,YGL044C
NIP7,-0.231,0.0019352,-0.504,5.28E-06,0.623,1.56E-04,YPL211W
MSB2,-0.066,0.093717,-0.131,0.01294,-0.171,0.031836,YGR014W
MAD2,0.08,0.21701,-0.271,0.0092841,0.46,0.0045437,YJL030W
SAP4,-0.521,2.37E-09,0.171,0.020857,-0.208,0.28721,YGL229C
MAD3,-0.072,0.14469,-0.154,0.046575,0.084,0.52778,YJL013C
YGR203W,-0.141,0.039575,-0.085,0.43554,-0.34,0.22451,YGR203W
SNP1,0.165,0.013072,-0.635,4.90E-04,0.181,0.28119,YIL061C
TUP1,0.044,0.28551,0.704,1.83E-04,-0.091,0.69411,YCR084C
SSN6,0.108,0.009167,-0.004,0.92034,0.077,0.17771,YBR112C
ALPHA2,0.169,0.0012873,-0.085,0.11481,0.301,0.0027555,YCL067C
LSM4,0.193,7.05E-05,-0.181,0.0037591,0.151,0.13653,YER112W
RPS28A,-0.374,2.73E-06,-0.239,1.05E-04,-0.243,4.86E-05,YOR167C
LSM8,0.059,0.6011,-0.435,0.070701,0.294,0.14344,YJR022W
LYS9,0.223,1.18E-05,-0.131,0.0089039,0.647,1.18E-07,YNR050C
YNL050C,0.301,1.43E-05,-0.448,0.0031926,0.594,7.51E-04,YNL050C
